DATE,VALUE
1980,1.251899967193600
1981,1.121216678619390
1982,1.083916676839190
1983,1.106716670989990
1984,1.031091721852620
1985,0.976691665649414
1986,0.949833348592123
1987,1.081750036875410
1988,1.141724961598720
1989,1.164630228678390
1990,1.162666664123540
1991,1.208343327840170
1992,1.113355229695640
1993,1.187382233937580
1994,1.058178641001380
1995,0.865017922719320
1996,0.809697971343994
1997,0.841684195200602
1998,0.782949975331624
1999,0.831393498725820
2000,0.877891256509191
2001,0.965407956898174
2002,0.954037711406316
2003,0.897354166666667
2004,1.139070833333330
2005,1.187291666666670
2006,1.156354166666670
2007,1.180383333333330
2008,1.211034722222220
2009,1.196229166666670
2010,1.524745580808080
2011,1.831783491945860
2012,1.879429034130120
2013,1.835884987295310
2014,2.240584337160420
2015,2.004943711180120
